SITE_CODE,PARAMETER_NAME,SAMPLING_DATE,ENVIRON_COMPARTMENT_SUB,SUBSAMPLE,MEASURED_FLAG,MEASURED_VALUE,UNCERTAINTY_TYPE,UNCERTAINTY_UPPER,UNCERTAINTY_LOWER,MEASURED_UNIT,MEASURED_N,LOQ_VALUE,LOQ_UNIT,LOD_VALUE,LOD_UNIT,SAMPLING_PROTOCOL,EXTRACTION_PROTOCOL,FRACTIONATION_PROTOCOL,ANALYTICAL_PROTOCOL,REFERENCE_ID,SAMPLE_ID,ENVIRON_COMPARTMENT,PARAMETER_TYPE,MEASURED_TYPE,MEASUREMENT_COMMENT,CAMPAIGN_NAME_SHORT,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,RELIABILITY_SCORE,RELIABILITY_EVAL_SYS,CONFIDENTIALITY_EXPIRY_DATE,ORGANISATION,ENTERED_BY,ENTERED_DATE,CAMPAIGN_COMMENT
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,12,,33.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 12,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,13,,34,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 13,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,14,,37,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 14,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,15,,29,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 15,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,16,,35,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 16,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,17,,35,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 17,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,18,,24.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 18,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,19,,32,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 19,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 3,Copper,06/11/2016,Aquatic Sediment,20,,30,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 3-Copper-AquaticSedim-2016-11-06-R 20,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,2,,40,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 2,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,3,,39,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 3,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,4,,35,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 4,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,5,,36,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 5,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,6,,36,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 6,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,7,,33,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 7,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,8,,32,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 8,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,9,,36,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 9,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,10,,34,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 10,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,11,,31.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 11,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,12,,27,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 12,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,13,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 13,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,14,,21.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 14,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,15,,17,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 15,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,16,,19,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 16,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,17,,21,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 17,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,18,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 18,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,19,,25,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 19,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 4,Copper,06/11/2016,Aquatic Sediment,20,,26,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 4-Copper-AquaticSedim-2016-11-06-R 20,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,2,,36,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 2,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,3,,37,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 3,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,4,,34.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 4,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,5,,30.5,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 5,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
Bokfjorden2016_St 5,Copper,06/11/2016,Aquatic Sediment,6,,29,Not Reported,,,mg/kg (dry),1,,,,,S01_CoreSampling_Bokfjorden,E01_NitricAcidDiges_Bokfjorden,F01_SequentialExtra_Bokfjorden,A01_InductivelyCoup_Bokfjorden,2019SimonsenLabilityOfToxic,Bokfjorden2016_St 5-Copper-AquaticSedim-2016-11-06-R 6,Aquatic,Stressor,Concentration,,Bokfjorden2016,Submarine Tailings Disposal Study - Bøkfjorden 2016,06/11/2016,06/11/2016,,Not relevant,,University of Copenhagen,Camden Karon Klefbom,10/11/2025,"Study investigated environmental impacts of submarine tailings disposal one year after cessation of iron ore mine Sydvaranger Gruve. Combined analyses of total metal concentrations, metal fractionation patterns, and metal uptake by sandworms exposed to Bøkfjorden sediment."
